crop,prod_system,region,area
"Barley, winter",conventional,1211,223.31087193013977
"Barley, winter",conventional,1212,352.3536072768798
"Barley, winter",conventional,1213,131.5639966057349
"Barley, winter",conventional,1214,73.0852321595365
"Barley, winter",conventional,1215,551.5685091327092
"Barley, winter",conventional,1216,385.02225743616435
"Barley, winter",conventional,1221,69.84305082026954
"Barley, winter",conventional,1222,153.7832236449893
"Barley, winter",conventional,1311,427.4993780381605
"Barley, winter",conventional,1321,335.35951150391986
"Barley, winter",conventional,1322,0.0
"Barley, winter",conventional,1331,149.52013448709633
"Barley, winter",conventional,1411,0.0
"Barley, winter",conventional,1412,16.992025135774597
"Barley, winter",conventional,1421,0.0
"Barley, winter",conventional,1511,52.25407466393006
"Barley, winter",conventional,1512,139.32275698998626
"Barley, winter",conventional,1521,27.67839897963485
"Barley, winter",conventional,1522,0.0
"Barley, winter",conventional,1611,0.0
"Barley, winter",conventional,1612,150.12842218817605
"Barley, winter",conventional,1613,81.01551428755155
"Barley, winter",conventional,1614,281.1982325599524
"Barley, winter",conventional,1615,135.07809521666994
"Barley, winter",conventional,1616,111.0549531677793
"Barley, winter",conventional,1617,12.680057576804314
"Barley, winter",conventional,1621,140.53251426261536
"Barley, winter",conventional,1622,396.72776176300806
"Barley, winter",conventional,1623,334.5064860521304
"Barley, winter",conventional,1711,22.099901830091166
"Barley, winter",conventional,1712,0.0
"Barley, winter",conventional,1713,1.0737920792079207
"Barley, winter",conventional,1721,2.547492458455557
"Barley, winter",conventional,1722,80.82555318204466
"Barley, winter",conventional,1723,0.0
"Barley, winter",conventional,1724,0.0
"Barley, winter",conventional,1811,90.03949754653915
"Barley, winter",conventional,1812,418.8922120382916
"Barley, winter",conventional,1813,10.1340562118625
"Barley, winter",conventional,1821,130.87820963947448
"Barley, winter",conventional,1911,222.2238995994948
"Barley, winter",conventional,1912,5.476303478622254
"Barley, winter",conventional,1921,217.81388766339407
"Barley, winter",conventional,1922,25.34330319953038
"Barley, winter",conventional,2011,7.692503413536767
"Barley, winter",conventional,2012,4.378950840630261
"Barley, winter",conventional,2019,0.0
"Barley, winter",conventional,2111,3.604339272366629
"Barley, winter",conventional,2121,0.0
"Barley, winter",conventional,2122,0.0
"Barley, winter",conventional,2211,0.0
"Barley, winter",conventional,2212,0.0
"Barley, winter",conventional,2221,0.0
"Barley, winter",conventional,2311,0.0
"Barley, winter",conventional,2312,0.0
"Barley, winter",conventional,2319,0.0
"Barley, winter",conventional,2331,0.0
"Barley, winter",conventional,2411,0.0
"Barley, winter",conventional,2412,0.0
"Barley, winter",conventional,2413,0.0
"Barley, winter",conventional,2414,0.0
"Barley, winter",conventional,2415,0.0
"Barley, winter",conventional,2419,0.0
"Barley, winter",conventional,2511,0.0
"Barley, winter",conventional,2512,0.0
"Barley, winter",conventional,2519,0.0
