region,animal,prod_system,number
1123,"smågrisar, under 20 kg",conventional,4140.422540414431
1123,höns,conventional,177180.15969038248
1123,värpkycklingar,conventional,22303.4789066222
1123,slaktkycklingar,conventional,286525.70088006655
1123,kalkoner,conventional,0.0
1123,hästar,conventional,4280.143536211428
1124,kor för mjölkproduktion,conventional,2470.2344724801674
1124,kor för uppfödning av kalvar,conventional,1680.28429093706
1124,"kvigor, tjurar och stutar",conventional,3538.352658093488
1124,"kalvar, under 1 år",conventional,3908.3137625650406
1124,baggar och tackor,conventional,1778.235376770982
1124,lamm,conventional,1968.7693969482145
1124,galtar för avel,conventional,10.818440267045327
1124,suggor för avel,conventional,730.1614445683949
1124,"slaktgrisar, 20 kg och däröver",conventional,4655.156484657573
1124,"smågrisar, under 20 kg",conventional,1573.1797229173176
1124,höns,conventional,33455.08086039436
1124,värpkycklingar,conventional,4988.847952415614
1124,slaktkycklingar,conventional,93045.38625804057
1124,kalkoner,conventional,0.0
1124,hästar,conventional,4297.016741137883
1131,kor för mjölkproduktion,conventional,2492.1992982835827
1131,kor för uppfödning av kalvar,conventional,2191.477562521906
1131,"kvigor, tjurar och stutar",conventional,4385.237002097639
1131,"kalvar, under 1 år",conventional,4367.240884105555
1131,baggar och tackor,conventional,1894.8948344748585
1131,lamm,conventional,2059.277393282095
1131,galtar för avel,conventional,14.042139045529172
1131,suggor för avel,conventional,929.6061180106402
1131,"slaktgrisar, 20 kg och däröver",conventional,4559.265889054999
1131,"smågrisar, under 20 kg",conventional,2444.2955082789495
1131,höns,conventional,128885.15279295293
1131,värpkycklingar,conventional,51.32651775133544
1131,slaktkycklingar,conventional,23631.897918944167
1131,kalkoner,conventional,0.0
1131,hästar,conventional,3666.1719752044037
1211,kor för mjölkproduktion,conventional,264.9325307289063
1211,kor för uppfödning av kalvar,conventional,430.87188465095534
1211,"kvigor, tjurar och stutar",conventional,514.7898535629847
1211,"kalvar, under 1 år",conventional,741.17169677275
1211,baggar och tackor,conventional,2005.267535802642
1211,lamm,conventional,2506.8172409890003
