f_species,f_breed,f_prod_system,f_region,x0_animals
sheep,none,conventional,1331,3792.027815625804
pigs,none,conventional,1331,2738.673133493931
poultry,layer,conventional,1331,172514.92983822772
poultry,broiler,conventional,1331,7.531413572077147
cattle,dairy,conventional,1411,901.2275602005398
cattle,beef,conventional,1411,1040.9004187289331
sheep,none,conventional,1411,2207.685876686016
pigs,none,conventional,1411,14.809691803827354
poultry,layer,conventional,1411,6085.321692783526
poultry,broiler,conventional,1411,12.598658307868662
cattle,dairy,conventional,1412,1527.4273801670745
cattle,beef,conventional,1412,1035.7441003216964
sheep,none,conventional,1412,2013.678409245113
pigs,none,conventional,1412,190.95218202876785
poultry,layer,conventional,1412,15025.374169561568
poultry,broiler,conventional,1412,0.0
cattle,dairy,conventional,1421,965.8790755064174
cattle,beef,conventional,1421,730.9067925420599
sheep,none,conventional,1421,1646.1809398739192
pigs,none,conventional,1421,383.2251221385628
poultry,layer,conventional,1421,4166.311412206114
poultry,broiler,conventional,1421,5675.345312694039
cattle,dairy,conventional,1511,8095.020861724904
cattle,beef,conventional,1511,2845.183867912322
sheep,none,conventional,1511,4255.3550094792845
pigs,none,conventional,1511,332.858419489272
poultry,layer,conventional,1511,37430.79606909217
poultry,broiler,conventional,1511,767.9184262492654
cattle,dairy,conventional,1512,2282.151475362561
cattle,beef,conventional,1512,350.7578437909911
sheep,none,conventional,1512,579.3370354902881
pigs,none,conventional,1512,5884.684956938755
poultry,layer,conventional,1512,82301.28571646978
poultry,broiler,conventional,1512,0.0
cattle,dairy,conventional,1521,1249.0122060886993
cattle,beef,conventional,1521,949.0696961848708
sheep,none,conventional,1521,2515.685134908901
pigs,none,conventional,1521,396.3860713561386
poultry,layer,conventional,1521,8898.01103078081
poultry,broiler,conventional,1521,2212.022741328676
cattle,dairy,conventional,1522,1102.545125014463
cattle,beef,conventional,1522,849.4514035802017
sheep,none,conventional,1522,1282.255230679389
pigs,none,conventional,1522,578.3110387104157
poultry,layer,conventional,1522,16775.5376026074
poultry,broiler,conventional,1522,0.0
cattle,dairy,conventional,1611,1641.3419407755323
cattle,beef,conventional,1611,671.1932373519951
sheep,none,conventional,1611,879.2728503761552
pigs,none,conventional,1611,798.977250786614
poultry,layer,conventional,1611,3772.3140219880434
poultry,broiler,conventional,1611,20783.68725728316
cattle,dairy,conventional,1612,3634.936985086091
cattle,beef,conventional,1612,1391.331595114844
sheep,none,conventional,1612,1676.268803797361
pigs,none,conventional,1612,947.7234495022834
poultry,layer,conventional,1612,1914.4637349038155
poultry,broiler,conventional,1612,101706.4339833487
cattle,dairy,conventional,1613,3648.583825464967
cattle,beef,conventional,1613,1457.7223143673052
sheep,none,conventional,1613,1570.1132763672608
pigs,none,conventional,1613,708.8744747851448
poultry,layer,conventional,1613,3976.366722852332
poultry,broiler,conventional,1613,46876.26195832785
cattle,dairy,conventional,1614,3931.340409112652
cattle,beef,conventional,1614,894.4153563728294
sheep,none,conventional,1614,1125.054853319538
pigs,none,conventional,1614,1463.139315413682
poultry,layer,conventional,1614,6368.579840416223
poultry,broiler,conventional,1614,865467.6866412454
cattle,dairy,conventional,1615,2083.32070487548
cattle,beef,conventional,1615,720.817262464129
sheep,none,conventional,1615,1172.8276043912692
pigs,none,conventional,1615,1419.7674627773208
poultry,layer,conventional,1615,1869.717898252726
poultry,broiler,conventional,1615,798426.6512112755
cattle,dairy,conventional,1616,4049.335773808009
cattle,beef,conventional,1616,665.0608150905713
sheep,none,conventional,1616,1119.992681242405
pigs,none,conventional,1616,3671.705077163709
poultry,layer,conventional,1616,48314.63412623728
poultry,broiler,conventional,1616,614312.6156247325
cattle,dairy,conventional,1617,1856.4497989286797
cattle,beef,conventional,1617,350.18046229626333
sheep,none,conventional,1617,806.712744013064
pigs,none,conventional,1617,1358.267348495505
poultry,layer,conventional,1617,7811.388678407768
poultry,broiler,conventional,1617,344359.02877223
cattle,dairy,conventional,1621,2481.695102282946
cattle,beef,conventional,1621,1030.586102498257
sheep,none,conventional,1621,1920.0988619565
pigs,none,conventional,1621,2297.081165754193
poultry,layer,conventional,1621,60653.86824960286
poultry,broiler,conventional,1621,51464.86305895919
cattle,dairy,conventional,1622,1289.704895877556
cattle,beef,conventional,1622,577.9626944050694
sheep,none,conventional,1622,972.2763276099616
pigs,none,conventional,1622,3532.215078564896
poultry,layer,conventional,1622,148357.76648335197
poultry,broiler,conventional,1622,141364.01009652115
cattle,dairy,conventional,1623,948.6711927565892
cattle,beef,conventional,1623,481.878181031453
sheep,none,conventional,1623,914.275809624381
pigs,none,conventional,1623,2675.225396932892
poultry,layer,conventional,1623,74290.87148883197
poultry,broiler,conventional,1623,884.5280967760325
cattle,dairy,conventional,1711,1320.729529624752
cattle,beef,conventional,1711,888.1723493809909
sheep,none,conventional,1711,1132.1872365485226
pigs,none,conventional,1711,102.25171364136352
poultry,layer,conventional,1711,0.0
poultry,broiler,conventional,1711,0.0
cattle,dairy,conventional,1712,1089.5528389013775
